Country,gini_coef_2007,gini_coef_2008,gini_coef_2009,gini_coef_2010,gini_coef_2011,gini_coef_2012,gini_coef_2013,gini_coef_2014,gini_coef_2015,gini_coef_2016,gini_coef_2017,gini_coef_2018,gini_coef_2019,gini_coef_2020,gini_coef_2021,gini_coef_2022
Austria,0.284,0.28,0.289,0.28,0.281,0.276,0.28,0.274,0.275,0.284,0.275,0.28,0.274,0.272,0.281,
Canada,0.317,0.315,0.316,0.316,0.313,0.317,0.319,0.312,0.318,0.307,0.31,0.304,0.3,0.28,0.292,
Chile,,,0.48,,0.471,,0.465,,0.454,,0.46,,,0.496,,0.448
Czechia,0.256,0.259,0.257,0.26,0.257,0.254,0.259,0.257,0.258,0.253,0.249,0.249,0.248,0.255,0.255,
Denmark,,,,,0.251,0.249,0.254,0.256,0.263,0.261,0.264,0.263,0.268,,,
Estonia,,,,,,,0.356,0.346,0.33,0.314,0.309,0.305,0.305,0.305,0.321,
Finland,0.269,0.264,0.259,0.264,0.264,0.26,0.262,0.257,0.26,0.259,0.266,0.269,0.273,0.265,0.273,0.274
France,,,,,,,,,,,,,,0.278,0.298,
Germany,,0.285,,,0.291,0.289,0.292,0.289,0.293,0.294,0.289,0.289,0.296,0.303,,
Greece,0.329,0.328,0.33,0.336,0.333,0.338,0.342,0.339,0.34,0.333,0.319,0.306,0.312,0.32,0.312,
Hungary,0.257,0.246,0.241,0.266,0.269,0.279,0.286,0.281,0.284,0.28,0.289,0.28,0.286,0.28,0.278,
Iceland,0.285,0.306,0.266,0.248,0.252,0.252,0.24,0.246,0.257,0.264,0.25,,,,,
Ireland,0.304,0.295,0.312,0.298,0.307,0.31,0.312,0.298,0.298,0.309,0.295,0.292,0.293,0.282,0.291,
Israel,,,,,0.371,0.371,0.36,0.365,0.36,0.346,0.344,0.348,0.342,0.34,0.348,
Italy,0.313,0.317,0.315,0.327,0.327,0.33,0.325,0.326,0.333,0.327,0.334,0.33,0.325,0.331,0.33,
Japan,,,,,,,,,,,,0.334,,,0.338,
Korea,,,,,0.388,0.385,0.372,0.363,0.352,0.355,0.354,0.345,0.339,0.328,0.329,0.324
Latvia,0.375,0.375,0.354,0.346,0.351,0.346,0.351,0.349,0.346,0.346,0.355,0.351,0.344,0.355,0.343,0.343
Lithuania,0.337,0.357,0.365,0.329,0.321,0.35,0.351,0.38,0.372,0.378,0.374,0.361,0.357,0.357,0.366,
Luxembourg,,,,,,,,,0.306,0.305,0.327,0.318,0.305,0.29,0.284,
Netherlands,,,,,0.294,0.293,0.287,0.305,0.305,0.292,0.298,0.295,0.312,0.295,0.295,0.288
New Zealand,0.331,0.328,0.329,0.335,0.329,0.335,0.341,0.341,0.325,0.333,0.335,0.33,0.326,0.32,,
Norway,,0.25,0.245,0.249,0.25,0.253,0.252,0.257,0.272,0.262,0.262,0.262,0.261,0.263,0.285,0.262
Poland,0.315,0.307,0.303,0.304,0.301,0.298,0.299,0.297,0.291,0.285,0.275,0.281,0.268,0.265,0.261,
Portugal,0.36,0.354,0.336,0.341,0.337,0.337,0.341,0.338,0.336,0.331,0.32,0.317,0.31,0.327,0.313,
Slovak Republic,0.246,0.257,0.267,0.265,0.262,0.251,0.27,0.247,0.25,0.241,0.22,0.236,0.222,0.229,0.217,
Slovenia,0.238,0.234,0.245,0.245,0.243,0.249,0.254,0.251,0.25,0.244,0.243,0.249,0.246,0.238,0.242,
Spain,0.313,0.327,0.333,0.339,0.341,0.334,0.345,0.343,0.344,0.341,0.333,0.33,0.32,0.329,0.32,
Sweden,,,,,,,0.267,0.272,0.276,0.28,0.282,0.273,0.277,0.276,0.286,0.29
Switzerland,0.312,0.306,0.297,0.298,0.289,0.285,0.295,0.297,0.296,0.302,0.299,0.311,0.316,0.32,,
United Kingdom,0.373,0.369,0.374,0.351,0.354,0.351,0.358,0.356,0.36,0.351,0.357,0.366,0.366,0.355,0.354,
