Country,ict_access_pct_pop_2012,ict_access_pct_pop_2013,ict_access_pct_pop_2014,ict_access_pct_pop_2015,ict_access_pct_pop_2016,ict_access_pct_pop_2017,ict_access_pct_pop_2018,ict_access_pct_pop_2019,ict_access_pct_pop_2020,ict_access_pct_pop_2021,ict_access_pct_pop_2022
Austria,100.0,99.8035,99.1802,100.0,99.8318,99.804,98.6644,99.0737,98.9763,100.0,100.0
Canada,,,,,,,98.6,,98.2,,99.1
Chile,99.62,95.29,98.29146268,97.84498866,99.61188181,99.58674212,,,,,
Czechia,95.5885,96.3564,99.8796,98.9767,98.5782,99.6914,99.734,98.9991,100.0,100.0,100.0
Denmark,99.6026,99.6646,100.0,99.7967,100.0,100.0,100.0,98.9506,99.736,99.7325,99.358
Estonia,99.6445,99.1811,100.0,100.0,100.0,99.6613,99.6162,99.4439,99.4739,99.7256,99.1776
Finland,99.6342,99.6081,99.6982,98.9671,100.0,99.6833,100.0,100.0,100.0,100.0,100.0
France,98.9627,98.475,98.1223,97.85,98.3412,98.1235,96.1309,97.6498,,98.4025,98.9064
Germany,99.2189,99.2881,99.2614,99.2863,99.6,99.37,99.6227,99.4621,99.2505,98.4924,97.5763
Greece,98.4419,96.2928,99.4205,97.7273,98.8822,99.5734,97.8964,99.401,98.8495,100.0,98.6482
Hungary,97.6124,98.6216,99.3103,98.1702,100.0,99.4128,98.5709,99.3197,99.2178,99.4085,98.6627
Ireland,97.3841,98.4352,99.1806,99.2916,98.6112,96.0606,99.709,99.8539,,,
Italy,91.963,90.9815,91.8613,93.0503,93.7397,93.5574,93.4665,94.367,93.6532,96.9279,97.893
Korea,100.0,99.92948005,99.93748817,99.98572616,100.0,99.77386817,99.96173994,99.95403155,99.93675916,99.92826216,99.89066651
Latvia,99.6794,99.6119,100.0,99.1127,100.0,98.6853,99.3972,100.0,97.3236,100.0,99.5105
Lithuania,99.5372,99.854,99.7431,99.1283,100.0,99.7705,100.0,99.502,99.5416,100.0,100.0
Luxembourg,100.0,100.0,99.5645,100.0,100.0,100.0,100.0,98.615,100.0,100.0,100.0
Netherlands,100.0,100.0,94.3021,97.8282,95.4561,99.6963,95.604,98.0867,94.6913,96.967,94.2799
Norway,100.0,100.0,100.0,98.8189,100.0,100.0,100.0,99.0157,100.0,100.0,100.0
Portugal,99.4766,99.3738,99.4625,99.5082,99.6217,99.4854,99.4775,99.5922,99.7908,99.8217,99.813
Slovak Republic,99.3566,99.8343,99.4647,100.0,99.7591,97.7847,100.0,99.5549,100.0,98.9933,99.1894
Slovenia,98.4068,100.0,99.0622,100.0,100.0,98.7342,100.0,100.0,99.2708,99.0065,100.0
Spain,96.9311,99.221,98.9507,98.2456,99.4138,99.6513,99.3753,99.5828,100.0,100.0,99.5474
Sweden,98.1854,100.0,96.0824,98.2401,90.9693,96.947,94.3314,100.0,98.5926,99.6199,96.9291
United Kingdom,99.1262,99.2964,99.2819,99.2466,98.4139,97.5003,100.0,100.0,100.0,,
