Country,2006_Mean,2006_SE,2009_Mean,2009_SE,2012_Mean,2012_SE,2015_Mean,2015_SE,2018_Mean,2018_SE,2022_Mean,2022_SE,Country Code,ict_national,Population_2018,GDP_2018_USD
Austria,492.0,2.7,491.0,3.8,490.0,4.1,,,490,2.8,485,2.8,AUT,Yes,8.8,455.3
Chile,410.0,3.6,,,442.0,5.0,449.0,3.1,441,2.9,452,2.6,CHL,Yes,18.7,298.2
Colombia,,,,,385.0,5.1,413.0,3.7,403,3.4,409,3.8,COL,Yes,49.1,336.9
Czech Republic,492.0,2.4,489.0,3.5,483.0,4.2,478.0,2.9,493,2.9,487,2.6,CZE,Yes,10.6,245.2
Denmark,497.0,2.4,492.0,2.8,494.0,3.2,495.0,2.1,496,2.6,500,2.5,DNK,No,5.8,352.1
Estonia,,,,,501.0,2.9,501.0,2.6,516,2.0,519,2.2,EST,Yes,1.3,30.6
Finland,546.0,2.6,543.0,1.6,547.0,2.1,536.0,2.3,524,2.4,526,2.5,FIN,No,5.5,276.8
France,505.0,2.7,496.0,2.7,488.0,4.1,496.0,3.4,505,2.8,499,2.5,FRA,Yes,66.9,2789.1
Germany,484.0,2.5,491.0,3.4,495.0,4.4,497.0,2.7,508,2.8,509,3.0,DEU,No,82.9,3947.6
Hungary,480.0,4.0,482.0,2.5,482.0,3.3,494.0,3.2,488,3.2,470,2.7,HUN,Yes,9.8,155.7
Ireland,527.0,3.2,515.0,2.6,517.0,3.5,496.0,3.0,523,2.6,521,2.5,IRL,Yes,4.9,385.6
Italy,487.0,2.9,476.0,3.0,469.0,2.4,486.0,1.6,490,2.0,485,2.7,ITA,Yes,60.4,2085.8
Japan,522.0,5.2,498.0,3.9,498.0,3.6,520.0,3.5,538,3.7,516,3.2,JPN,Yes,126.5,4971.5
Korea,525.0,2.4,534.0,3.1,556.0,3.8,539.0,3.5,536,3.9,517,3.5,KOR,Yes,51.6,1619.4
Latvia,458.0,5.3,491.0,3.7,479.0,3.7,484.0,3.0,489,2.4,488,1.8,LVA,Yes,1.9,34.1
Lithuania,,,,,470.0,3.0,468.0,2.4,477,2.5,472,2.7,LTU,Yes,2.8,54.0
Netherlands,,,513.0,2.9,507.0,2.9,508.0,5.1,511,3.5,503,2.4,NLD,No,17.2,913.7
New Zealand,529.0,2.8,522.0,2.5,521.0,3.0,521.0,2.4,512,2.4,509,2.4,NZL,Yes,4.9,205.9
Norway,505.0,2.8,500.0,2.8,484.0,3.2,503.0,2.6,504,3.2,513,2.5,NOR,No,5.3,434.2
Portugal,470.0,4.5,478.0,3.7,472.0,3.6,489.0,3.1,488,3.8,498,2.7,PRT,Yes,10.3,241.7
Slovak Republic,,,469.0,3.1,466.0,3.1,477.0,2.5,463,4.2,453,2.8,SVK,No,5.4,106.5
Slovenia,,,,,494.0,1.0,483.0,1.0,481,1.2,505,1.5,SVN,Yes,2.1,54.6
Spain,493.0,2.7,481.0,2.6,461.0,2.2,481.0,2.0,488,1.9,496,2.4,ESP,Yes,46.7,1428.5
Sweden,516.0,2.2,514.0,2.4,507.0,3.4,497.0,2.9,483,3.0,500,3.5,SWE,No,10.2,556.1
United Kingdom,,,,,495.0,2.3,494.0,2.3,499,3.5,498,2.8,GBR,Yes,66.5,2850.3
