Country,2006_Mean,2006_SE,2009_Mean,2009_SE,2012_Mean,2012_SE,2015_Mean,2015_SE,2018_Mean,2018_SE,2022_Mean,2022_SE,Treatment,Pandemic_Deaths_2020,Education_Spending_Percent_GDP,GDP_Per_Capita_2018,COVID_Death_Percent_Population
Austria,511.0,3.9,,,506,2.7,495,2.4,490.0,2.8,491,2.7,Yes,0.8,5.5,51.73863636363636,0.00909090909090909
Canada,534.0,2.0,529.0,1.6,525,1.9,528,2.1,518.0,2.2,515,1.9,Yes,2.9,5.7,46.80323450134771,0.007816711590296496
Chile,438.0,4.3,447.0,2.9,445,2.9,447,2.4,444.0,2.4,444,2.5,Yes,3.4,5.0,15.946524064171124,0.01818181818181818
Colombia,388.0,3.4,402.0,3.6,399,3.1,416,2.4,413.0,3.1,411,3.3,Yes,3.1,4.5,6.861507128309571,0.006313645621181263
Czech Republic,513.0,3.5,500.0,3.0,508,3.0,493,2.3,497.0,2.5,498,2.3,Yes,1.2,4.1,23.132075471698112,0.011320754716981131
Denmark,496.0,3.1,499.0,2.5,498,2.7,502,2.4,493.0,1.9,494,2.5,No,1.0,4.9,60.70689655172414,0.017241379310344827
Estonia,531.0,2.5,528.0,2.7,541,1.9,534,2.1,530.0,1.9,526,2.1,Yes,0.1,4.8,23.53846153846154,0.007692307692307693
Finland,563.0,2.0,554.0,2.3,545,2.2,531,2.4,522.0,2.5,511,2.5,No,0.8,5.2,50.32727272727273,0.014545454545454545
France,495.0,3.4,498.0,3.6,499,2.6,495,2.1,493.0,2.2,487,2.7,Yes,14.5,5.3,41.69058295964125,0.021674140508221224
Germany,516.0,3.8,520.0,2.8,524,3.0,509,2.7,503.0,2.9,492,3.5,No,23.8,4.2,47.61881785283474,0.02870928829915561
Hungary,504.0,2.7,503.0,3.1,494,2.9,477,2.4,481.0,2.3,486,2.7,Yes,5.1,4.3,15.887755102040813,0.05204081632653061
Ireland,508.0,3.2,508.0,3.3,522,2.5,503,2.4,496.0,2.2,504,2.3,Yes,0.5,3.7,78.6938775510204,0.010204081632653062
Italy,475.0,2.0,489.0,1.8,494,1.9,481,2.5,468.0,2.4,477,3.2,Yes,36.5,4.1,34.53311258278146,0.06043046357615894
Japan,531.0,3.4,539.0,3.4,547,3.6,538,3.0,529.0,2.6,547,2.8,Yes,47.8,3.5,39.30039525691699,0.03778656126482213
Korea,522.0,3.4,538.0,3.4,538,3.7,516,3.1,519.0,2.8,528,3.6,Yes,5.0,4.6,31.38372093023256,0.009689922480620155
Latvia,490.0,3.0,494.0,3.1,502,2.8,490,1.6,487.0,1.8,494,2.3,Yes,0.7,5.2,17.947368421052634,0.0368421052631579
Lithuania,488.0,2.8,491.0,2.9,496,2.6,475,2.7,482.0,1.6,484,2.3,Yes,1.0,4.3,19.28571428571429,0.03571428571428571
Netherlands,525.0,2.7,522.0,5.4,522,3.5,509,2.3,503.0,2.8,488,4.1,No,20.0,5.4,53.12209302325582,0.11627906976744186
New Zealand,530.0,2.7,532.0,2.6,516,2.1,513,2.4,508.0,2.1,504,2.2,Yes,0.4,6.3,42.0204081632653,0.00816326530612245
Norway,487.0,3.1,500.0,2.6,495,3.1,498,2.3,490.0,2.3,478,2.4,No,0.6,7.1,81.9245283018868,0.011320754716981131
Portugal,474.0,3.0,493.0,2.9,489,3.7,501,2.4,492.0,2.8,484,2.6,Yes,6.8,5.0,23.466019417475724,0.06601941747572816
Slovak Republic,488.0,2.6,490.0,3.0,471,3.6,461,2.6,464.0,2.3,462,3.0,No,2.8,4.0,19.72222222222222,0.05185185185185185
Slovenia,519.0,1.1,512.0,1.1,514,1.3,513,1.3,507.0,1.3,500,1.4,Yes,1.2,4.6,26.0,0.05714285714285715
Spain,488.0,2.6,488.0,2.1,496,1.8,493,2.1,,,485,1.6,Yes,75.0,4.9,30.58886509635974,0.16059957173447537
Sweden,503.0,2.4,495.0,2.7,485,3.0,493,3.6,499.0,3.1,494,2.4,No,6.2,4.8,54.51960784313726,0.060784313725490195
United Kingdom,515.0,2.3,514.0,2.5,514,3.4,509,2.6,505.0,2.6,500,2.4,Yes,128.5,6.1,42.86165413533835,0.19323308270676692
